Id;X;Y
1;829483.42958600000;2274075.75441000000
2;829640.12362100000;2274195.14034000000
3;829841.58738100000;2274292.14141000000
4;829960.97331200000;2274210.06358000000
5;829886.35710500000;2273978.75334000000
6;829834.12576000000;2273889.21389000000
7;829841.58738100000;2273754.90472000000
8;830057.97438200000;2273680.28851000000
9;830281.82300300000;2273680.28851000000
10;830602.67269400000;2273642.98041000000
11;830841.44455800000;2273620.59555000000
12;831035.44669600000;2273620.59555000000
13;831266.75693900000;2273583.28744000000
14;831415.98935300000;2273478.82475000000
15;831557.76014700000;2273374.36206000000
16;831789.07039000000;2273322.13072000000
17;831983.07252800000;2273322.13072000000
18;832199.45952900000;2273254.97613000000
19;832341.23032300000;2273195.28317000000
20;832587.46380700000;2273128.12858000000
21;832721.77298000000;2273075.89723000000
22;832878.46701500000;2273023.66589000000
23;833094.85401600000;2272993.81941000000
24;833251.54805200000;2272949.04968000000
25;833453.01181100000;2272889.35672000000
26;833706.70691600000;2272792.35565000000
27;833908.17067500000;2272777.43241000000
28;834072.32633100000;2272672.96972000000
29;834311.09819400000;2272583.43027000000
30;834572.25492000000;2272538.66054000000
31;834803.56516200000;2272426.73623000000
32;834885.64299000000;2272359.58164000000
33;835102.02999100000;2272374.50489000000
34;835251.26240600000;2272456.58271000000
35;835415.41806200000;2272523.73730000000
36;835460.18778600000;2272643.12323000000
37;835594.49695900000;2273068.43561000000
38;835781.03747700000;2273650.44203000000
39;836012.34772000000;2274307.06465000000
